price,title,link
"139,13",Kit 12 Calcinhas Feminina Biquíni Variadas Trifil,https://produto.mercadolivre.com.br/MLB-1559572195-kit-12-calcinhas-feminina-biquini-variadas-trifil-_JM#position=15&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"194,32",Tênis Swift 4 Feminino Olympikus,https://produto.mercadolivre.com.br/MLB-3146472115-tnis-swift-4-feminino-olympikus-_JM#position=16&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"219,31",Tênis Feminino Advantage adidas,https://produto.mercadolivre.com.br/MLB-3109001818-tnis-feminino-advantage-adidas-_JM#position=17&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"168,33",Tênis Feminino Easy 2 Olympikus ,https://produto.mercadolivre.com.br/MLB-3211743549-tnis-feminino-easy-2-olympikus-_JM#position=18&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"315,31",Tênis Grand Court 2.0 Masculino adidas,https://produto.mercadolivre.com.br/MLB-3109008009-tnis-grand-court-20-masculino-adidas-_JM#position=19&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"129,12",Kit Com 10 Cuecas Boxer Sem Costura Masculina D'uomo,https://produto.mercadolivre.com.br/MLB-3085243020-kit-com-10-cuecas-boxer-sem-costura-masculina-duomo-_JM#position=20&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"160,15",Olympikus Delta Masculino Adultos,https://www.mercadolivre.com.br/tnis-para-homem-olympikus-delta-cor-pretopretopreto-adulto-42-br/p/MLB19530917?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB19530917&position=1&search_layout=grid&type=product&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"199,33",Kit Com 10 Cuecas Boxer Lupo,https://produto.mercadolivre.com.br/MLB-3208833355-kit-com-10-cuecas-boxer-lupo-_JM#position=21&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"168,33",Tênis Masculino Eros Olympikus ,https://produto.mercadolivre.com.br/MLB-2732287951-tnis-masculino-eros-olympikus-_JM#position=22&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"139,13",Kit Com 5 Camisetas Básicas Masculinas Gola Redonda Hering,https://produto.mercadolivre.com.br/MLB-2833034075-kit-com-5-camisetas-basicas-masculinas-gola-redonda-hering-_JM#position=23&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"141,13",Tênis Casual Calce Fácil Feminino Kolosh Lançamento,https://produto.mercadolivre.com.br/MLB-3427480770-tnis-casual-calce-facil-feminino-kolosh-lancamento-_JM#position=24&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"138,34",Tênis Urano Masculino E Feminino Preto E Vermelho Olympikus,https://produto.mercadolivre.com.br/MLB-3255844347-tnis-urano-masculino-e-feminino-preto-e-vermelho-olympikus-_JM#position=25&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"149,14",Kit Com 10 Calcinhas Feminina Calça Larga Microfibra Delrio,https://produto.mercadolivre.com.br/MLB-2673511622-kit-com-10-calcinhas-feminina-calca-larga-microfibra-delrio-_JM#position=26&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"184,30",Tênis Masculino / Feminino Perfect 3 Olympikus,https://produto.mercadolivre.com.br/MLB-2732294037-tnis-masculino-feminino-perfect-3-olympikus-_JM#position=27&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"159,15",Olympikus Ultraleve 129g Feminino Adultos,https://www.mercadolivre.com.br/tnis-feminino-olympikus-ultraleve-129g-129g-cor-preto-adulto-37-br/p/MLB22286354?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB22286354&position=2&search_layout=grid&type=product&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"189,31",Kit Com 10 Cuecas Boxer Seamless Masculina Zorba ,https://produto.mercadolivre.com.br/MLB-3240028922-kit-com-10-cuecas-boxer-seamless-masculina-zorba-_JM#position=28&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"338,33",Tênis Feminino Duramo R C adidas Novo,https://produto.mercadolivre.com.br/MLB-3333316645-tnis-feminino-duramo-r-c-adidas-novo-_JM#position=29&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"136,13",Tênis Feminino / Masculino Urano Olympikus,https://produto.mercadolivre.com.br/MLB-2732319342-tnis-feminino-masculino-urano-olympikus-_JM#position=30&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"36,3",Kit Com 10 Calcinhas Tanga Feminina Love Secret ,https://produto.mercadolivre.com.br/MLB-2854078023-kit-com-10-calcinhas-tanga-feminina-love-secret-_JM#position=31&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"199,33",Tênis  Masculino Engage Fila ,https://produto.mercadolivre.com.br/MLB-3140732134-tnis-masculino-engage-fila-_JM#position=32&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
